search_topic,title,authors,year,publication_date,type,journal,doi,url,cited_by_count
recapitulation,Mitochondrial unfoldase ClpX regulates oocyte competence during ovarian aging,"Renwu Hua, Zhuo Hai, Tingting Zheng, Jingkai Gu, Huijia Du, Chenxi Guo, Jiaping Su, Xiaomei Zhou, Jingdi Yang, Yiqiu Wei, Tailang Yin, Jian V. Zhang, Kui Liu, William S. B. Yeung, Elnur Babayev, Tianren Wang",2026,2026-09-23,article,Cell Death Discovery,https://doi.org/10.1038/s41420-026-03335-0,https://openalex.org/W7214088740,0
recapitulation,Analysis of Route Planning for the Pluit–Airport Toll Road from the Perspective of Technical Evaluation and Investment Feasibility,"Dzaky Rizaldi, Hermanto Dwiatmoko, Muhammad Isradi",2026,2026-09-23,article,Eduvest - Journal Of Universal Studies,https://doi.org/10.59188/eduvest.v6i9.53481,https://openalex.org/W7214088606,0
recapitulation,"Programmable immune biointerfaces for cell-state control through mechanotransduction, stimuli-responsive design, and AI-guided modeling in regeneration and cancer",Moawiah M. Naffaa,2026,2026-09-23,article,Frontiers in Biomaterials Science,https://doi.org/10.3389/fbiom.2026.1971156,https://openalex.org/W7214075456,0
recapitulation,Rancang Bangun Sistem Informasi Buku Tamu Digital Berbasis Web Untuk Meningkatkan Pelayanan Publik Di Kelurahan Paupire,"Adelgunde Ratna Sari, Ferdinandus Lidang Witi, Rosalin Togo",2026,2026-09-23,article,Jurnal Teknologi Dan Sistem Informasi Bisnis,https://doi.org/10.47233/jteksis.v8i4.283,https://openalex.org/W7214070432,0
rule of truth,Data-driven Staging of Neurodegenerative Pathology Related to Alzheimer’s Disease,Tom Earnest,2026,2026-09-23,article,Open Scholarship Institutional Repository (Washington University in St. Louis),https://doi.org/10.7936/8gyz-ae13,https://openalex.org/W7214067509,0
rule of truth,Lorentz-equivariance without limitations,"Luigi Favaro, Gerrit Gerhartz, Fred A. Hamprecht, Peter Lippmann, Sebastian Pitz, Tilman Plehn, Huilin Qu, Jonas Spinner",2026,2026-09-23,article,SciPost Physics Core,https://doi.org/10.21468/scipostphyscore.9.3.058,https://openalex.org/W4415241254,3
Christian theology,African Conventions of Witchcraft and Divination: Justified Claims or Mere Chance and Manoeuvres,Remi Prospero Fonka,2026,2026-09-23,article,International Journal of Science and Research (IJSR),https://doi.org/10.21275/sr26920031510,https://openalex.org/W7214128713,0
Christian theology,"Relationship Between Language, Culture, and Thinking of the Kajang Community from the Perspective of Anthropological Linguistics","Harlinah Sahib, Jumardin Muchtar, Herawati Abbas, Ferawaty Syam",2026,2026-09-23,article,Bahasa dan Seni Jurnal Bahasa Sastra Seni dan Pengajarannya,https://doi.org/10.17977/2550-0635.1451,https://openalex.org/W7214122547,0
Christian theology,"Barriers to Access, Ambiguity of Cure","Kimberly E. Oaks Takacs, Axel Marc Oaks Takács",2026,2026-09-23,book-chapter,,https://doi.org/10.4324/9781003539728-10,https://openalex.org/W7214101440,0
Christian theology,Reformed hermeneutics as a hermeneutic of appreciation,Guillaume Smit,2026,2026-09-23,article,Stellenbosch Theological Journal,https://doi.org/10.17570/stj.2026.v12n1.a12,https://openalex.org/W7214102595,0
Christian theology,Historiography and Archives of the Orthodox Mission in Kazakhstan: From Early Christian Origins to the Modern Metropolis,Nurmukhamed Kenzhegulov,2026,2026-09-23,article,QUT JOURNAL OF RELIGION PHILOSOPHY AND CULTURE,https://doi.org/10.65608/qut.2026.3.01,https://openalex.org/W7214104636,0
Christian theology,"The Theological Imagination: Perception and Interpretation in Life, Art, and Faith by JudithWolfe (Cambridge: Cambridge University Press, 2025), xi +208 pp.",Jonathan A. Anderson,2026,2026-09-23,book-review,Modern Theology,https://doi.org/10.1111/moth.70150,https://openalex.org/W7214109841,0
Christian theology,The Last Temptation of Christ (1988),Lucy Bolton,2026,2026-09-23,book-chapter,,https://doi.org/10.4324/9780429346538-32,https://openalex.org/W7214111288,0
Christian theology,The Virtual Vineyard: A Biblical and Theological Framework for Ministerial Formation in a Borderless Church,A. Areo Omolara,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg70.79,https://openalex.org/W7214112670,0
Christian theology,"FROM SACRED TEXT TO STATUTE: HUMAN RESOURCE MANAGEMENT PRINCIPLES ACROSS RELIGIOUS TRADITIONS, CULTURAL NORMS, AND THE CODE OF HAMMURABI",Sadik M. Amr,2026,2026-09-23,article,World Journal of Advanced Research and Reviews,https://doi.org/10.30574/wjarr.2026.31.3.2459,https://openalex.org/W7214112920,0
Christian theology,Pastoral Care Strategy for Guiding Christians Experiencing Doctrinal Confusion,Esther Viyon Odunlami,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg118.131,https://openalex.org/W7214121228,0
Christian theology,Integrating Artificial Intelligence in the Teaching and Learning of Christian Religious Studies: Opportunities and Challenges,Chinwe Blessing UMEH,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg43.54,https://openalex.org/W7214121889,0
Christian theology,"THE EVANGELICAL CAUCUS AND THE FAMILY STATUTE: FAMILY, SEXUALITY AND POLITICAL-RELIGIOUS MILITANCY IN CONTEMPORARY BRAZIL",Luiz Augusto Leite,2026,2026-09-23,book-chapter,Seven Editora eBooks,https://doi.org/10.56238/sevened2026.035-014,https://openalex.org/W7214123648,0
Christian theology,Pengaruh Pembelajaran SQ3R Berbantuan Chatbot Telegram terhadap Kemampuan Menyimpulkan Bacaan Cerpen Siswa Kelas V,"Faizal Fasawiguna, Prana Dwija Iswara, Diah Gusrayani",2026,2026-09-23,article,JGK (Jurnal Guru Kita),https://doi.org/10.24114/jgk.v10.i4.75336,https://openalex.org/W7214098285,0
Christian theology,Vocal Health Awareness and Hygiene Practices in Church Choral Singing: Implications for Contextual Voice Pedagogy,Dr Yeside Odiase,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg132.138,https://openalex.org/W7214123918,0
Christian theology,"Attitudes of Christian Religious Studies Students Toward Artificial Intelligence–Supported Instruction at The Federal College of Education, Kontagora",Munagkur Charity Ubandoma,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg97.104,https://openalex.org/W7214124800,0
Christian theology,"Effect of Irrational Belief Counselling on Management of Unemployment Psychological Issues Among Youth in Seminary Deanery, Kenya","Catherine Nyaboke Nyakundi, Prof Jennifer K. Munyua, Betty J. Chewen",2026,2026-09-23,article,International Journal of Social Science and Human Research,https://doi.org/10.47191/ijsshr/v9-i9-67,https://openalex.org/W7214126391,0
Christian theology,"Love, Christianity, and Evolution",jingang han,2026,2026-09-23,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22926218,https://openalex.org/W7214126761,0
Christian theology,"An Intercultural Approach to Tackling Kidnapping and Banditry in Oyo State, South-West Nigeria",Olusegun Kila Adedotun,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF SOCIAL SCIENCES AND MANAGEMENT RESEARCH,https://doi.org/10.56201/ijssmr.vol.12no8.2026.pg444.464,https://openalex.org/W7214127029,0
Christian theology,"The Oxford Handbook of Omnipresence. Edited by AnnaMarmodoro, DamianoMigliorini, and BenPage. Oxford University Press, 2025. Pp. 715. £143.00.",Edward Wierenga,2026,2026-09-23,book-review,The Heythrop Journal,https://doi.org/10.1111/heyj.70112,https://openalex.org/W7214128542,0
Christian theology,"The spread of the ""New Israel"" Sect in the Yekaterinoslav Diocese in the Early Twentieth century and Orthodox Reponses",Seraphim Balenko,2026,2026-09-23,article,Russian Journal of Church History,https://doi.org/10.15829/2686-973x-2026-246,https://openalex.org/W7214128940,0
biblical interpretation,Biblical Allusion in Shaping Intertextuality in Selected Kenyan 2022 Presidential Pre-Election Speeches,"Gordon Okinyi Odira, Damaris  NYAKOE, Erick Omondi Odero",2026,2026-09-23,article,East African Journal of Arts and Social Sciences,https://doi.org/10.37284/eajass.9.3.5844,https://openalex.org/W7214097003,0
biblical interpretation,Miracles reconsidered,Panu Raatikainen,2026,2026-09-23,article,Religious Studies,https://doi.org/10.1017/s0034412526101814,https://openalex.org/W7214118374,0
Christian theology,Reconstruction of Legal Research Methodology: An Epistemological Review of the Prophetic Law,"Kelik Wardiono, Isman Isman, Arief Budiono, Wardah Yuspin, Dwinuryudha Ken Rifqi",2026,2026-09-23,article,Greenation International Journal of Law and Social Sciences,https://doi.org/10.38035/gijlss.v4i4.855,https://openalex.org/W7214101125,0
Christian theology,A COMPARATIVE ANALYSIS OF THE ROLE OF WOMEN IN ISLAM AND CHRISTIANITY,REV. AMBROSE AKPOTOR Ph. D,2026,2026-09-23,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22923664,https://openalex.org/W7214098152,0
theology,"Secular Globalism and the ""Religious Criterion"" of Civilisation",Veniamin V. Simonov,2026,2026-09-23,article,Russian Journal of Church History,https://doi.org/10.15829/2686-973x-2026-276,https://openalex.org/W7214073521,0
theology,"Caste, Culture and Colonialism",Prakash Shah,2026,2026-09-23,book,,https://doi.org/10.4324/9781003771951,https://openalex.org/W7214079708,0
theology,"O evangelho segundo Bart: um artigo de resenha de “Misquoting Jesus”, de Bart Ehrman",Daniel Baird Wallace,2026,2026-09-23,article,PRÁXIS TEOLÓGICA,https://doi.org/10.25194/2317-0573.2026v22n1.e2440,https://openalex.org/W7214073451,0
theology,St Thomas’ tactile visionary experiences from a neurophenomenological perspective,Thomas KL Vaidyan,2026,2026-09-23,article,Stellenbosch Theological Journal,https://doi.org/10.17570/stj.2026.vn1.a10,https://openalex.org/W7214073069,0
theology,Baptist Resistance to Christian Nationalism: A Theological and Historical Lesson for the Contemporary Baptist Church,Godfrey Harold,2026,2026-09-23,article,South African Baptist Journal of Theology,https://doi.org/10.66846/pkgp3469a,https://openalex.org/W7214072845,0
theology,Empowered to Empower: Pneumatologi dan Kepemimpinan Inklusif,Tri Waluyo,2026,2026-09-23,article,Jurnal Multidisiplin West Science,https://doi.org/10.58812/jmws.v5i09.3886,https://openalex.org/W7214069692,0
theology,Politics and Compromise in the Hebrew Bible,,2026,2026-09-23,book,Mohr Siebeck eBooks,https://doi.org/10.1628/978-3-16-200354-6,https://openalex.org/W7214075077,0
theology,"Brondolan and Prayers: Spirituality, the Meaning of Ikhtiar, and Survival Strategies of Women in Palm Oil Plantations","Yusva Fadillah Nasution, Suheri Harahap, Ismail",2026,2026-09-23,article,Tanwiruna Jurnal Pendidikan dan Sosial Keagamaan,https://doi.org/10.65793/j.tanwiruna.2026.163,https://openalex.org/W7214075208,0
theology,Addressing the Real Problem,Jonathan Langston Chism,2026,2026-09-23,book-chapter,,https://doi.org/10.4324/9781003539728-18,https://openalex.org/W7214075886,0
theology,Decolonising the curriculum through multicultural education as an effort to develop critical awareness among the younger generation,"Sudirman P, Andi Muh. Taqiyuddin BN, Saifuddin Amin, Fitriani Fitriani, Siti Fatimahtu Sahra",2026,2026-09-23,article,REFERENSI ISLAMIKA Jurnal Studi Islam,https://doi.org/10.66053/ri.v4i4.465,https://openalex.org/W7214077806,0
theology,How do street-level bureaucrats manage the existential needs of older people when making decisions regarding home care? – On the significance and use of neglective restrictiveness,"Magnus Broström, Johan M. Berlin",2026,2026-09-23,article,Nordic Social Work Research,https://doi.org/10.1080/2156857x.2026.2730121,https://openalex.org/W7214078774,0
theology,"An Ethical Enquiry into Youth Development from the Biblical Perspective in the Context of Nigerian Society, 2000–2023: A Case Study of Abia State",Ucheakolam Elizabeth Umejiaku,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg105.117,https://openalex.org/W7214079801,0
Christian theology,T.F. Torrance’s non-dualist theological method and atonement theology,Daniel Webster,2026,2026-09-23,article,Stellenbosch Theological Journal,https://doi.org/10.17570/stj.2026.v12n1.a14,https://openalex.org/W7214092455,0
theology,Civil-Military Cooperation Within The Total People’s War Strategy in Dealing with The Communal Unrest in Poso in 2000-2001 to Achieve The Peace Resolution,"Hasrul Prasetyo L, Buddy Suseto, Frega Ferdinand Wenas Inkiriwang, Muhamad Noor Gibran",2026,2026-09-23,article,Jurnal Indonesia Sosial Sains,https://doi.org/10.59141/jiss.v7i9.2565,https://openalex.org/W7214079865,0
theology,"Masculine Fictions: Memory, Amnesia, and the Iteration of Patriarchy in Namita Gokhale's Shakuntala","Arun Kumar A.M, P. Tamilarasan",2026,2026-09-23,article,World Journal of English Language,https://doi.org/10.5430/wjel.v16n6p550,https://openalex.org/W7214081016,0
Christian theology,The Rupture of Being: From the Ontological Abyss of War to the Transfigured Self,Olena Romanova,2026,2026-09-23,article,Filosofija Sociologija,https://doi.org/10.6001/fil-soc.2026.37.3.8,https://openalex.org/W7214084066,0
Christian theology,"""In Our Age,"" and Culture: The Reception of Nostra Aetate in North America and Implications for Its Inculturation in Ghana",Manson Anane Adjei,2026,2026-09-23,dissertation,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22913475,https://openalex.org/W7214084322,0
Christian theology,The heart in Byzantine philosophy and culture: the Hesychasm of Gregory Palamas,Georgiy Evgenievich Borovskikh,2026,2026-09-23,article,Manuscript,https://doi.org/10.30853/mns20260235,https://openalex.org/W7214086927,0
Christian theology,COMPARATIVE ANALYSIS ON THE CONCEPT OF PRAYER IN CHRISTIANITY AND ISLAM IN NIGERIA,REV. AMBROSE AKPOTOR Ph. D,2026,2026-09-23,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22923556,https://openalex.org/W7214087879,0
theology,The Awakening / El despertar: A Computational Reality Model Story,Roberts Reynaldo,2026,2026-09-23,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22925884,https://openalex.org/W7214076886,0
theology,"In collaboration with Mohammed Osman Najib, founder of the ""I Know No More"" Philosophical",Osman Najib,2026,2026-09-23,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22918147,https://openalex.org/W7214076694,0
Christian theology,"Scouting for God: Metaphysics and Masculinity in the Muslim Brotherhood’s Jawwala Program, 1933–1948",Arthur Shiwa Zárate,2026,2026-09-23,article,International Journal Middle East Studies,https://doi.org/10.1017/s0020743826101767,https://openalex.org/W7214090540,0
biblical interpretation,"Managing the ‘Living Dead’: Necropolitics, Biopolitical Administration, and the Governance Crisis in Colonial Nigeria","Shalom Ìbírónkẹ́, Roseline Yacim",2026,2026-09-23,article,Theatre academy.,https://doi.org/10.62425/theatreacademy.1977631,https://openalex.org/W7214118977,0
theology,Pastoral Care Perspectives on Female Genital Mutilation: A Feminist Approach,Oyebola Adewumi Adejumo,2026,2026-09-23,article,INTERNATIONAL JOURNAL OF RELIGIOUS AND CULTURAL PRACTICE,https://doi.org/10.56201/ijrcp.vol.11.no6.2026.pg80.88,https://openalex.org/W7214078360,0
theology,Witness Density and the Cosmological Constant: A Unified Equation from Quantum Error Correction,Haroune Bendekkiche,2026,2026-09-23,preprint,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22903949,https://openalex.org/W7214014714,0
theology,"Suffering, Care, and Moral Theology in Disability: An Interfaith Reading of Guzaarish",Bharat Dhiman,2026,2026-09-23,article,Journal of Disability & Religion,https://doi.org/10.1080/23312521.2026.2737623,https://openalex.org/W7214069022,0
theology,Aquinas,Liam McDonnell,2026,2026-09-23,book-chapter,,https://doi.org/10.1093/9780197916087.003.0006,https://openalex.org/W7214023879,0
theology,"Gracious Forgiveness: A Theological Retrieval, written by Cristian F. Mihut",Sorin Sabou,2026,2026-09-23,article,Journal of Moral Philosophy,https://doi.org/10.1163/17455243-20263068,https://openalex.org/W7214066305,0
theology,Epilogue,Liam McDonnell,2026,2026-09-23,book-chapter,,https://doi.org/10.1093/9780197916087.003.0008,https://openalex.org/W7214011596,0
theology,"The Thirteenth Century: The Summa Halensis , William of Auvergne, and Albertus Magnus",Liam McDonnell,2026,2026-09-23,book-chapter,,https://doi.org/10.1093/9780197916087.003.0005,https://openalex.org/W7214004182,0
theology,"On Truth, Society and the World","Josip Jambrač, PhD,",2026,2026-09-23,article,International Journal of Social Science and Human Research,https://doi.org/10.47191/ijsshr/v9-i9-69,https://openalex.org/W7213881220,0
theology,Journeys of Parents with LGBTQ+ Children: How Trauma and Healing Reshape Identity and (Mis)Informating Practices,"Soonho Kwon, Dong Whi Yoo, Koustuv Saha, Shaowen Bardzell, Younah Kang",2026,2026-09-23,article,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3816958,https://openalex.org/W7162017217,0
theology,Critical Thinking,Øyvind Andre Fosse,2026,2026-09-23,book-chapter,,https://doi.org/10.4324/9781003682233-8,https://openalex.org/W7214068639,0
theology,What Cosmic Nihilism Contributes to Benatar's Case Against Procreation,Ivan Catanzaro,2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-10514999/v1,https://openalex.org/W7214062003,0
theology,"Seeing Signs: Celestial Wonders in Reformation Germany, 1540–1583",Joshua Thoreson,2026,2026-09-23,book,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22925420,https://openalex.org/W7214068645,0
theology,"Bernard of Clairvaux, Hugh of St Victor, and Peter Lombard: A Victorine Tradition?",Liam McDonnell,2026,2026-09-23,book-chapter,,https://doi.org/10.1093/9780197916087.003.0004,https://openalex.org/W7214026775,0
theology,"Intercultural empathy under mobility restrictions: insights from university students in the West Bank, Palestine",Dalya Saleh,2026,2026-09-23,article,Intercultural Communication Education,https://doi.org/10.29140/ice.v9n3.103726,https://openalex.org/W7214069111,0
theology of the flesh,Oraciones de relativo de antecedente oracional en griego antiguo. Tipología basada en el teatro griego,María López Romero,2026,2026-09-22,article,Emerita,https://doi.org/10.3989/emerita.2026.1427,https://openalex.org/W7213983749,0
theological anthropology,"‘Sikhism: The Basics’, by Nikky-Guninder Kaur Singh and Eleanor Nesbitt",Vishal Sangu,2026,2026-09-22,article,Religions of South Asia,https://doi.org/10.1558/rosa.36465,https://openalex.org/W7213977633,0
theological anthropology,A Dialogical Epistemology for Catholic Religious Education: Disciplinary Identity and Educational Openness in Plural Societies,Andrea Porcarelli,2026,2026-09-22,article,Religions,https://doi.org/10.3390/rel17101111,https://openalex.org/W7213974884,0
theological anthropology,"Coerced Labor, Caste, and Aspirations for Liberty in Early Nineteenth-Century Bengal: Revisiting the Antislavery Debate from South Asia",Anirban Karak,2026,2026-09-22,article,Comparative Studies in Society and History,https://doi.org/10.1017/s001041752610067x,https://openalex.org/W7213974549,0
theological anthropology,Shāh-e Sarāb: A Hazara Solar Festival in Bamiyan and Connections with Ancient Khordādgān,"Habib Borjian, Maryam Borjian",2026,2026-09-22,article,Iranian Studies,https://doi.org/10.1017/irn.2026.10172,https://openalex.org/W7213968456,0
recapitulation,Rethinking restorability-biomimetic rehabilitation of a severely structurally compromised mandibular molar: A microscope-assisted case report,Rishu Mittal,2026,2026-09-22,article,International Journal of Oral Health Dentistry,https://doi.org/10.18231/j.ijohd.68949.1790066728,https://openalex.org/W7213968881,0
recapitulation,Kant’s Argument that Mathematics is the Science of Magnitude: Comments on Daniel Sutherland’s Kant’s Mathematical World,Jeremy Heis,2026,2026-09-22,article,Canadian Journal of Philosophy,https://doi.org/10.1017/can.2026.10096,https://openalex.org/W7213970059,0
recapitulation,Presidentialization party in Indonesia: The impact of executive and legislative relations in local cases,"Aditya Perdana, Muhammad Imam, Teuku Harza Mauludi",2026,2026-09-22,article,Asian Journal of Comparative Politics,https://doi.org/10.1177/20578911261480240,https://openalex.org/W7213981699,0
recapitulation,Utilization of Interactive Flat Panel (IFP) Based on Interactive Multimedia to Improve Learning Motivation and Learning Outcomes in Islamic Religious Education at SDN Sumbersari 2 Malang,"Mujtahid, Ali Hasan Assidiqi",2026,2026-09-22,article,Journal of Multidisciplinary Science MIKAILALSYS,https://doi.org/10.58578/mikailalsys.v4i3.12158,https://openalex.org/W7213983426,0
recapitulation,Analisis Dampak Perbedaan Nilai Kontrak Dan Faktur Pajak Terhadap Pengakuan Pendapatan Pada PT Kimia Farma Trading And Distribution Manado,"Nadia Esther Keresung, Ivonne H. Putong, Priscilla Christina Sumendap",2026,2026-09-22,article,Jurnal Nuansa Publikasi Ilmu Manajemen dan Ekonomi Syariah,https://doi.org/10.61132/nuansa.v4i3.2842,https://openalex.org/W7213985134,0
recapitulation,Guidelines for Group Art Therapy Videos: Connecting Group Process with Production,Sarah D. E. Newton,2026,2026-09-22,article,ODU Digital Commons (Old Dominion University),https://doi.org/10.25777/s4x2-eq05,https://openalex.org/W7213993654,0
church fathers,"Estimation and Discussion of the Milestones of Sexual Identity Development among Sexual Minorities in the Global South: The case of Minas Gerais, Brazil","Samuel Araujo Gomes da Silva, Paula Miranda‐Ribeiro, Kenya Noronha, Gilvan Ramalho Guedes, Susan D. Cochran",2026,2026-09-22,article,Revista Latinoamericana de Población,https://doi.org/10.31406/relap2026.v20.e202558,https://openalex.org/W7213941620,0
theological anthropology,"Traces of Harmony on the Border: Cultural Acculturation and the Identity of Muslim Communities in Kletek Village, Malaka Regency","Adrianus Fani, Maria Augustine Graciafernandy",2026,2026-09-22,article,Glosains Jurnal Sains Global Indonesia,https://doi.org/10.59784/glosains.v7i4.911,https://openalex.org/W7213978087,0
church fathers,(Mis)managing Finances on a Global Scale: The Accounting Documents of the Jesuit Mission to Japan,Hélène Vu Thanh,2026,2026-09-22,article,Itinerario,https://doi.org/10.1017/s0165115326100928,https://openalex.org/W7213928846,0
biblical interpretation,,,2026,2026-09-22,paratext,AI & Antiquity,https://doi.org/10.64946/aiantiquity.v2i2,https://openalex.org/W7214048332,0
Christian anthropology,Gate-keeping or fence-breaking? How to defend science against pseudoscience,Sven Ove Hansson,2026,2026-09-22,article,Synthese,https://doi.org/10.1007/s11229-026-05824-2,https://openalex.org/W7214016484,0
patristics,From Genes to Brains: Molecular Evolution and Mammalian Brain Cellular Diversity,"Alexander Solovyov, Maksim A Kazanskii, Alibek Suraganov, Artem S. Kasianov",2026,2026-09-22,preprint,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.64898/2026.09.16.752041,https://openalex.org/W7214038826,0
patristics,The Salvation of the Involuntarily Ignorant in Medieval Theology,Liam McDonnell,2026,2026-09-22,book,,https://doi.org/10.1093/9780197916087.001.0001,https://openalex.org/W7214049871,0
Christian anthropology,"Street raciology: migrants, knowledge production, and the construction of belonging",Marcin D. Polak,2026,2026-09-22,article,Ethnic and Racial Studies,https://doi.org/10.1080/01419870.2026.2729712,https://openalex.org/W7213974168,0
Christian anthropology,Aging in Diaspora from the Eyes of the OG’s: The Elderly Greek Australians,Maria Irini Avgoulas,2026,2026-09-22,article,Athens Journal of Demography & Anthropology,https://doi.org/10.30958/ajda.2-3-3,https://openalex.org/W7213976125,0
Christian anthropology,Jihadist Groups and Water's Weaponization: Environmental Terrorism in Lake Chad Basin,Ilas Touazi,2026,2026-09-22,article,Journal of Central and Eastern European African Studies,https://doi.org/10.12700/jceeas.2026.6.2.458,https://openalex.org/W7213980300,0
Christian anthropology,Report from the Editor (2026),Carmen Martínez Novo,2026,2026-09-22,editorial,Latin American Research Review,https://doi.org/10.1017/lar.2026.10158,https://openalex.org/W7213983352,0
Christian anthropology,LGBTQI+ Regulation and Implications for Transgender Rights in Africa: A Feminist Queer Inquiry,Daniel Yaw Fiaveh,2026,2026-09-22,article,Journal of African Population Studies,https://doi.org/10.59147/sgkd0a14,https://openalex.org/W7214012557,0
Christian anthropology,Burying Futures: Artisanal Mining Deaths and the Politics of Negligence in Zimbabwe,Melusi Nkomo,2026,2026-09-22,article,American Anthropologist,https://doi.org/10.1111/aman.70120,https://openalex.org/W7214049619,0
eschatology,"Quine and language as a social art: projection, harmony, and the illusion of shared linguistic standards",Daniel Arvage Nagase,2026,2026-09-22,article,Synthese,https://doi.org/10.1007/s11229-026-05802-8,https://openalex.org/W7213982393,0
Christian anthropology,Reproductive Politics in the Atlantic Space,"Victor Strazzeri, Ana Cergol Paradiž, Jovana Mihajlović Trbovc",2026,2026-09-22,book,,https://doi.org/10.4312/9789612978952,https://openalex.org/W7214094490,0
eschatology,The End Is Not Destruction: A Cross-Disciplinary Hypothesis on Transformation Toward the Ultimate Singularity,Ridwan Gimnastiar Nur,2026,2026-09-22,preprint,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22886012,https://openalex.org/W7214006821,0
incarnation,In Their Own Words: Prosecutors on the Politics of Backlash,"Joshua M. Davis, Whitney K. Taylor",2026,2026-09-22,article,Law & Policy,https://doi.org/10.1111/lapo.70024,https://openalex.org/W7214123839,0
incarnation,Exploring the Path of Promoting the Construction of a Strong Cultural Country through the Red Sports Spirit during the“15th Five-Year Plan”Period,"Qiuyi Chen, Bo Jiang, JingRui Wang, XueTing Wang",2026,2026-09-22,article,Quality in Sport,https://doi.org/10.12775/qs.2026.75.75922,https://openalex.org/W7214057732,0
incarnation,"Threads of the Frightening: The Uncanny, Alienation, and Horror in Otsuichi's Fiction",K M Stephens,2026,2026-09-22,article,Open Scholarship Institutional Repository (Washington University in St. Louis),https://doi.org/10.7936/ntb7-pt33,https://openalex.org/W7214053891,0
incarnation,Samuel Clarke on moral necessity and divine freedom,Juan Garcia Torres,2026,2026-09-22,article,British Journal for the History of Philosophy,https://doi.org/10.1080/09608788.2026.2711770,https://openalex.org/W7213979794,0
incarnation,Anatomy of Being,Kimbell Kornu,2026,2026-09-22,book,University of Notre Dame Press eBooks,https://doi.org/10.68294/eqyq1176,https://openalex.org/W7213977653,0
biblical interpretation,The Positive Contribution of Neurodivergence to Ancient Studies,Jenny Read-Heimerdinger,2026,2026-09-22,article,AI & Antiquity,https://doi.org/10.64946/aiantiquity.v2i2.001,https://openalex.org/W7214050178,0
biblical interpretation,“Begging Jesus to Leave”: A Decolonial Reading of Local Refusal in Mark 5:1–20,Tzu yu Lin,2026,2026-09-22,article,Biblical Interpretation,https://doi.org/10.1163/15685152-bja10084,https://openalex.org/W7214064318,0
biblical interpretation,"Reconstructive Signatures and Semantic Overgrowth: Receiver-State Pattern Reinstatement, Cultural Transmission, Belief Updating, and the Failure of Interpretive Termination",Reece O'Sullivan,2026,2026-09-22,preprint,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22904964,https://openalex.org/W7214008389,0
recapitulation,Molecular therapy matching score correlates with clinical outcomes: a system for navigating cancer complexity,"Ally Perlina, Subha Krishnan, Kevin T. Bush, Eden Romm, Jason Keith Sicklick, Shumei Kato, Razelle Kurzrock",2026,2026-09-22,article,npj Genomic Medicine,https://doi.org/10.1038/s41525-026-00615-7,https://openalex.org/W7214055589,0
recapitulation,Zebrafish in the era of single‐cell and spatial transcriptomics: a new paradigm for central nervous system drug discovery from natural products,"Yingyi Huang, Xiang Liu, Guangyi Fan, Guiyi Gong, Simon Ming‐Yuen Lee",2026,2026-09-22,article,British Journal of Pharmacology,https://doi.org/10.1111/bph.70662,https://openalex.org/W7214044160,0
recapitulation,Beyond Autophagic Dysregulation: VMA21 Deficiency Reveals Altered Vesicle Trafficking and Broadens the Pathogenic Framework of X-Linked Myopathy with Excessive Autophagy,Christian Suarez,2026,2026-09-22,article,Open Scholarship Institutional Repository (Washington University in St. Louis),https://doi.org/10.7936/44qe-wk62,https://openalex.org/W7214028710,0
